City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lagoa,39.05,-27.9833,19.87,75,73,2.87,PT,1687683634
1,lasa,46.6166,10.7002,23.35,35,0,1.12,IT,1687683635
2,khatanga,71.9667,102.5,16.74,35,54,4.6,RU,1687683635
3,saskylakh,71.9167,114.0833,11.84,54,39,4.64,RU,1687683636
4,puerto ayora,-0.7393,-90.3518,24.75,95,97,1.79,EC,1687683637
5,ushuaia,-54.8,-68.3,-0.19,86,0,1.54,AR,1687683637
6,vaini,-21.2,-175.2,20.09,94,40,1.03,TO,1687683638
7,hermanus,-34.4187,19.2345,12.67,95,100,4.36,ZA,1687683638
8,ancud,-41.8697,-73.8203,12.48,87,100,13.15,CL,1687683621
9,provideniya,64.3833,-173.3,11.01,83,93,0.9,RU,1687683639
10,butaritari,3.0707,172.7902,25.61,95,100,14.35,KI,1687683639
11,hilo,19.7297,-155.09,22.92,94,99,3.13,US,1687683639
12,tarakan,3.3,117.6333,29.72,79,75,2.06,ID,1687683639
13,tiksi,71.6872,128.8694,14.59,59,68,4.57,RU,1687683640
14,hobart,-42.8794,147.3294,9.47,86,75,3.09,AU,1687683360
15,kruisfontein,-34.0033,24.7314,13.82,97,100,5.03,ZA,1687683640
16,omboue,-1.5746,9.2618,24.02,74,96,1.37,GA,1687683640
17,bluff,-46.6,168.3333,9.52,94,100,3.57,NZ,1687683641
18,camacha,33.0833,-16.3333,21.68,73,40,9.26,PT,1687683641
19,mar del plata,-38.0023,-57.5575,10.61,90,100,1.79,AR,1687683484
20,avarua,-21.2078,-159.775,24.03,94,75,5.66,CK,1687683641
21,albany,42.6001,-73.9662,19.82,94,52,1.63,US,1687683635
22,atuona,-9.8,-139.0333,27.62,69,2,7.85,PF,1687683642
23,fartura,-23.3883,-49.51,15.16,78,0,0.66,BR,1687683642
24,belmonte,-15.8631,-38.8828,18.15,97,100,1.02,BR,1687683643
25,rikitea,-23.1203,-134.9692,23.91,80,29,4.31,PF,1687683643
26,mendoza,-32.8908,-68.8272,9.74,62,0,2.57,AR,1687683600
27,ostrovnoy,68.0531,39.5131,7.12,94,96,4.7,RU,1687683643
28,beringovskiy,63.05,179.3167,5.97,93,100,2.57,RU,1687683644
